,MB,MC,CB,CC,PB,PC,tgt,Bio,Che,Mys,Cys,Pys,Mt,Ct,Pt,ICB_mb,ICC_mb,ICB_mc,ICC_mc,ICB_cb,ICC_cb,ICB_cc,ICC_cc,ICB_pb,ICC_pb,ICB_pc,ICC_pc
0,0.92195,1e-05,0.92195,0.00022,0.92195,0.0,1.0,0.92195,-0.0,"['FRD2', 'HEX1', 'MDH2']","['ACALD', 'PYK', 'TKT2']","['ACALD', 'PYK', 'TKT2']",0.926,0.154,0.141,0.92195,0.92195,0.0,-0.0,0.92195,0.92195,0.0,-0.0,0.92195,0.92195,0.0,-0.0
1,0.82975,3.34885,0.82975,3.38798,0.83255,1.90413,0.9,0.82975,3.7271,"['FRD2', 'GND', 'TALA']","['HEX1', 'RPE', 'TKT2']","['ACALD', 'PGI', 'TKT1']",4.524,6.613,8.317,0.90526,0.82975,0.2622,3.34884,1.0,0.82975,2000.0,3.38797,0.83255,0.82975,1.90413,2.01997
2,0.73756,7.28448,0.73756,7.0591,0.73758,3.90048,0.8,0.73756,7.28433,"['ACALD', 'AKGDH', 'CS']","['LDH_D', 'RPE', 'TKT1']","['PGL', 'TALA', 'TPI']",0.86,7.361,15.891,0.73756,0.73756,3.96877,7.28433,0.73756,0.73756,3.96877,7.05894,0.73758,0.73756,3.90048,3.9214
3,0.64536,10.43531,0.64536,10.43541,0.64675,5.88324,0.7,0.64536,10.4353,"['G6PDH2r', 'GND', 'RPE']","['AKGDH', 'ICDHyr', 'MDH2']","['HEX1', 'PGM', 'TKT2']",1.364,0.872,27.436,0.64536,0.64536,5.97268,10.4353,0.64536,0.64536,5.94848,10.4353,0.64675,0.64536,5.88324,5.99587
4,0.55317,11.99414,0.55317,12.10085,0.55737,7.88535,0.6,0.55317,13.02168,"['GND', 'PFK', 'RPE']","['CS', 'PGI', 'TALA']","['HEX1', 'FBA', 'PGK']",2.704,14.695,35.233,1.0,0.55317,2000.0,11.99414,0.55317,0.55317,7.97658,12.1008,0.55737,0.55317,7.88535,8.05569
5,0.46097,13.32845,0.46097,13.42899,0.49652,9.20786,0.5,0.46097,15.52386,"['ENO', 'RPE', 'TKT2']","['PGI', 'TKT1', 'TPI']","['G6PDH2r', 'MDH', 'PGK']",4.371,29.624,36.295,1.0,0.46097,2000.0,13.32841,1.0,0.46097,2000.0,13.42895,0.49652,0.46097,9.20786,10.78976
6,0.36878,14.66276,0.36878,14.74319,0.49652,9.20786,0.4,0.36878,18.02605,"['PGI', 'RPE', 'TPI']","['PGI', 'TKT1', 'TPI']","['MDH', 'PGK', 'PGL']",3.968,42.809,39.607,1.0,0.36878,2000.0,14.66273,1.0,0.36878,2000.0,14.74316,0.49652,0.36878,9.20786,14.6214
7,0.27658,16.0574,0.27658,16.0574,0.27658,20.50494,0.3,0.27658,20.5049,"['PGI', 'TKT1', 'TPI']","['PGI', 'TKT1', 'TPI']","['ICDHyr', 'MDH2', 'PGL']",5.878,46.005,0.797,1.0,0.27658,2000.0,16.05737,1.0,0.27658,2000.0,16.05737,0.27658,0.27658,13.98829,20.5049
8,0.18439,17.33138,0.18439,17.3716,0.49652,9.20786,0.2,0.18439,22.87756,"['GND', 'PGK', 'RPE']","['PGI', 'TKT1', 'TPI']","['G6PDH2r', 'MDH', 'PGK']",5.786,44.559,39.168,1.0,2000.0,2000.0,1.0,1.0,0.18439,2000.0,17.37158,0.49652,0.18439,9.20786,20.56221
9,0.09219,25.1853,0.09219,25.18529,0.09219,18.68351,0.1,0.09219,25.18522,"['CS', 'GND', 'PFK']","['AKGDH', 'ICDHyr', 'PGL']","['ICDHyr', 'PGI', 'TALA']",0.806,1.401,16.347,0.09219,0.09219,17.9961,25.18522,0.09219,0.09219,15.29106,25.18522,0.09219,0.09219,17.99265,18.68347
10,0.0,27.49286,0.0,27.49286,0.61916,6.48526,1.4e-16,0.0,27.49286,"['CS', 'G6PDH2r', 'PFL']","['CS', 'FRD2', 'MDH']","['PGL', 'PGM', 'TALA']",1.502,0.401,0.487,0.0,0.0,20.0,27.49286,0.0,0.0,20.0,27.49286,0.61916,0.0,6.48526,20.0
