,B,C,N_B,N_C
0,0.2415018333643685,0.08004916369721152,1.0,0.0050763984869989865
1,0.21735165002793166,2.9853775806529717,0.9,0.18932073158030205
2,0.19320146669149482,5.8907059976206,0.8,0.37356506467435774
3,0.16905128335505798,8.721553882766388,0.7000000000000001,0.5530861396906475
4,0.14490110001862114,9.815300153489005,0.6000000000000001,0.6224471630594711
5,0.12075091668218428,10.909046424222026,0.5000000000000001,0.6918081864289545
6,0.09660073334574744,12.002792694918481,0.40000000000000013,0.761169209796119
7,0.0724505500093106,13.017483830080776,0.3000000000000002,0.8255168719752379
8,0.04830036667287374,13.934618849686423,0.20000000000000015,0.8836779146503418
9,0.024150183336436884,14.851757343692995,0.10000000000000014,0.9418391776580861
10,0.0,15.768888888889052,0.0,1.0
