,MB,MC,CB,CC,tgt,Bio,Che
0,0.9219480857718736,0.00021684026696722203,0.9219480857718736,0.00021645142664372674,1.0,0.9219480950505711,-4.744571402426345e-09
1,0.8325478339146142,1.9041347916990397,0.8325478339140001,1.9041292900207278,0.9,0.829753285545514,3.7271028017929537
2,0.7400594453356604,3.8464977848111674,0.7375583879279258,7.284478753810985,0.8,0.7375584760404569,7.284326889015266
3,0.6698635072826324,5.381109498002779,0.6453636523801833,10.43541241422483,0.7,0.6453636665353998,10.435300950772847
4,0.5531688415212557,13.021680530956287,0.5531687656912255,13.021766685074645,0.6,0.5531688570303427,13.021676327518836
5,0.5321862892346053,8.386662064414464,0.460974030662328,15.523934633094704,0.5,0.46097404752528565,15.523860701425507
6,0.36877923778956756,18.026104511399936,0.36877923778956756,18.026104533214312,0.4,0.36877923802022855,18.026045086562508
7,0.2765844283858314,20.504941730357928,0.2765844283858314,20.504941584112544,0.3,0.27658442851517145,20.504896439177337
8,0.1843896188074723,22.87759151307277,0.1843896188074723,22.87759126029408,0.2,0.18438961901011436,22.877561449425052
9,0.5321731549800395,8.397568255272024,0.09219480934552848,25.18522633727091,0.1,0.09219480950505723,25.185221824678187
10,-4.970934242010117e-07,27.492869033266828,0.0,27.492857142848422,1.4e-16,0.0,27.49285714316273
