,C_Bio,C_Che,Tgt,K,Method,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che
0,0.44278561378936476,8.755760653178172,50,2,O,0.4427847749225682,0.0,0.44278561378936476,8.755698799721024
1,0.26567136810626835,11.953428100540432,30,2,O,0.26567126191058377,0.0,0.26567136827361887,11.95337363109289
2,0.17711424530716613,13.543024270191781,20,2,O,0.17711326877834177,0.0,0.17711424551574592,13.542963612591848
3,0.08855712256627157,15.132318234097232,10,2,O,0.088556179983063,0.0,0.08855712275787296,15.132370534003712
4,0.817632942511814,0.8510358315335793,80,3,O,0.8176329424302148,0.8509228679132657,0.7084569820629837,3.8833039363781223
5,0.6198998593051106,5.546145943959222,70,3,O,0.6199006488255211,0.0,0.6198998593051106,5.5461193095620445
6,0.5313427365472377,7.136578491505276,60,3,O,0.5313417820020123,0.0,0.5313427365472377,7.136518867810185
7,0.44278561378936476,8.761534776945025,50,3,O,0.44278543685402294,0.0,0.44278561378936476,8.761477562133223
8,0.26567136829043286,11.955231061141077,30,3,O,0.26567045019785956,0.0,0.26567136827361887,11.955204909676448
9,0.17711424551574592,13.543607819243334,20,3,O,0.17711521366575536,0.0,0.17711424551574592,13.543552415502463
10,0.08855712256627157,15.133221849876,10,3,O,0.08855683316793994,0.0,0.08855712275787296,15.13316321866357
11,0.885571227578763,0.0,10,3,P,0.8855712275912875,0.0,0.08855712275787296,15.133163540524215
